Date,ABSA,ARM,BAMB,BAT,BOC,BRIT,CABL,CARB,CGEN,CIC,COOP,CRWN,CTUM,DTK,EABL,EGAD,EQTY,EVRD,HFCK,JUB,KAPC,KCB,KEGN,KENO,KNRE,KPLC,KPLC-P4,KPLC-P7,KQ,KUKZ,LBTY,LIMT,LKL,MSC,NBK,NCBA,NMG,OCH,ORCH,PORT,SASN,SBIC,SCAN,SCBK,SCOM,SGL,SLAM,SMER,TCL,TOTL,TPSE,UCHM,UMME,UNGA,WTK,XPRS,^FNK15,^FNK25,^N20I,^NASI
2013-01-02,15.7,44.6,190,493,99.5,6.05,11.75,120,24,3.5,12.75,42.5,12.2,118,267,25,23.75,2,15.45,175,118,30.25,8.9,13.55,10.9,17,7.65,5.5,11.3,67.5,6.75,430,10.2,4.9,17.35,39.1,225,3.7,3,39,11.9,43,67.5,236.25,5.1,22.5,40.25,4.35,23.25,13.9,39.25,19.1,,13.05,200,3.5,126.46,129.24,"4,140.43",95.55
2013-01-03,15.8,44.6,190,500,99.5,6.05,12.1,120,24,3.45,12.8,41.75,12.2,118,267,24,23.75,2,15.55,182,118,31,8.85,13.55,10.95,16.95,7.65,5.5,11.35,67.5,7,430,10.2,4.95,17.05,39.05,227,3.6,3,40,11.75,42.75,68.5,235.5,5.15,22,40.25,4.35,23.75,13.85,40,19.45,,13.15,200,3.45,126.74,129.64,"4,159.25",96.07
2013-01-04,15.75,49.75,194,502,99.5,6.05,12.05,118,24,3.4,12.9,41.75,12.55,119,274,25,24,2,15.8,180,118,31,8.85,13.55,11.1,16.95,7.65,5.5,11.25,67.5,7,430,10.2,5,17.35,40.75,229,3.65,3,40,11.9,43.5,63,236.75,5.25,22,41,4.45,24,13.9,41.75,19.45,,13.45,200,3.5,128.57,131.53,"4,191.05",97.3
2013-01-07,15.7,52,191,504,99.5,6.05,12.15,118,24,3.4,12.8,41.75,12.45,121,272,24,23.75,1.9,15.6,194,118,31,9,13.5,11.05,16.5,7.65,5.5,11.2,70,6.9,430,10.2,5,17.4,39.95,231,3.55,3,41,12,44.75,67,239,5.35,22,41,4.45,24,13.65,41,19.1,,13.6,200,3.5,128.09,131.13,"4,212.49",97.55
2013-01-08,15.7,51.5,190,505,99.5,6.05,12.2,118,24,3.45,12.75,42,12.45,120,280,24.75,24,1.95,15.85,194,118,31,8.95,13.55,11.1,16.7,7.65,5.5,11.35,72,6.8,430,10.2,5,17.45,39.95,233,3.55,3,40.25,12.1,45,68.5,241.5,5.6,22.25,41,4.55,23,13.65,42,19.1,,13.5,200,3.5,131.86,135.25,"4,247.74",98.91
2013-01-09,15.6,54.5,190,524,100,6.1,12.4,125,24,3.45,12.7,42.5,12.5,124,290,24.5,25.25,1.95,16.1,194,118,31.25,9.15,13.6,11.45,16.7,7.65,5.5,11.2,71.5,6.8,430,10.2,4.95,17.5,42.25,239,3.5,3,40.25,12.45,45,69.5,241.25,5.8,22.5,40.75,4.6,23.25,13.55,42,19.05,,13.5,200,3.15,131.61,134.84,"4,305.03",101.03
2013-01-10,15.45,55,194,525,100,6.35,12,125,24,3.65,12.75,43,12.4,122,291,24,25.75,1.95,16.3,194,118,31.75,9.45,13.7,11.45,16.8,7.65,5.5,11.35,71.5,6.95,430,10.2,4.95,17.6,41.75,242,3.55,3,40.5,12.05,46,69,242.25,5.6,24,41.25,4.55,23.75,13.65,41.75,19.1,,13.55,199,3.05,132.91,136.12,"4,319.73",101.02
2013-01-11,15.4,56,195,530,100,6.3,12.05,119,24.25,3.65,12.75,42.5,12.25,124,294,24,25.5,1.95,16.45,194,118,32.75,10.05,13.8,11.35,17,7.65,5.5,11,72,6.95,430,10.2,4.95,17.65,41.65,243,3.55,3,40,12.05,45,69,244,5.6,23.25,41.75,4.6,24,13.5,42,19,,13.65,200,3.05,133.64,136.97,"4,349.87",101.63
2013-01-14,15.5,59,195,540,100,6.25,12.1,119,25.25,3.65,12.85,42.5,12.4,125,299,24,25.75,1.95,16.85,194,118,33.25,10.8,13.75,11.5,17.2,7.65,5.5,11.05,72,6.95,430,10.2,4.9,17.45,41.9,242,3.55,3,40,12.9,45,69,249.75,5.6,23.25,41.75,4.75,24,13.9,42,19.1,,13.6,200,3.05,135.04,138.47,"4,413.97",102.76
2013-01-15,15.65,59,196,540,99,6.3,12.5,119,25,3.65,12.95,42,12.6,129,303,24,26.25,1.95,17.2,194,118,34.25,11.5,13.95,11.85,17.9,7.65,5.5,11.05,72,6.95,430,10.2,4.95,17.75,43.85,256,3.65,3,40,12.55,45,70,255.25,5.65,24,42,4.75,23.75,13.9,42,18.95,,13.65,200,3.15,137.9,141.18,"4,474.68",104.28
