Date,ABSA,ARM,BAMB,BAT,BOC,BRIT,CABL,CARB,CGEN,CIC,COOP,CRWN,CTUM,DTK,EABL,EGAD,EQTY,EVRD,FTGH,HAFR,HFCK,IMH,JUB,KAPC,KCB,KEGN,KENO,KNRE,KPLC,KPLC-P4,KPLC-P7,KQ,KUKZ,KURV,LBTY,LIMT,LKL,MSC,NBK,NCBA,NMG,NSE,OCH,ORCH,PORT,SASN,SBIC,SCAN,SCBK,SCOM,SGL,SLAM,SMER,TCL,TOTL,TPSE,UCHM,UMME,UNGA,WTK,XPRS,^FNK15,^FNK25,^N20I,^N25I,^NASI
02/01/2015,16.75,86,139,901,125,29.5,15.7,22,54,10,19.5,111,61.75,237,302,42,50.5,3.9,8.25,4.15,46.95,125,450,137,57,10.15,8.6,17,14.25,6.7,5.5,8.7,180,"1,500.00",23.25,771,9.7,1.95,24.75,57.75,285,20.9,5.7,110,58,13,124,45,334.75,14.15,34.75,120,6,19.5,26.25,37,10.45,21,39.5,248,6.2,215.38,216.37,"5,117.43",,163.24
05/01/2015,16.45,82.5,140,891,125,29,15.8,22,49,10.05,19.1,111,63.5,240,303,38.75,49.75,3.7,8.6,4.1,46.75,124,450,137,56.5,9.85,8.8,17.45,15,6.7,5.5,8.9,180,"1,500.00",24,771,10.55,1.95,24.75,58.25,265,21.45,5.55,110,58,13,124,45.25,333,14.05,34.75,120,6.1,18,26.5,36.5,10.2,21,39.5,248,6,214.14,215.13,"5,089.71",,162.17
06/01/2015,16.4,83,140,898,126,28.75,15.6,22.25,49,9.85,18.85,111,64.75,239,307,39.75,49.5,3.75,8.35,4,46.45,123.75,450,137,56,9.55,8.75,17.35,15.7,6.7,5.5,9.05,180,"1,500.00",23.25,771,10.55,1.9,24.75,58.75,267,21.95,5.85,110,58,12.85,125,45,335.25,13.9,35.5,118,6.1,18.05,26.75,35.75,10.25,21,39.5,248,6,213.68,214.67,"5,098.49",,161.86
07/01/2015,16.3,82,140,900,126,28.5,16,22.25,49,9.85,18.55,111,64,238,305,41.75,49.5,3.5,8.6,4,46.3,122.25,455,137,56,9.5,8.7,17.3,15.95,6.7,5.5,9,180,"1,500.00",23.5,771,10.9,1.9,25,60.75,271,21.35,5.75,110,58,12.95,125,47,339.5,13.85,35.5,118,6.5,18.05,27,36,10.3,21,41.75,249,5.6,213.13,214.17,"5,102.67",,161.8
08/01/2015,16.25,82,140,901,126,27.75,16.1,22.25,53.5,9.75,18.95,120,62.75,245,308,37.75,49.5,3.6,8.45,4,45.95,122,455,138,56,9.7,8.7,17.45,16.15,6.7,5.5,9,182,"1,500.00",23.5,771,10.95,2,24.75,63.25,275,21.05,6.05,110,56.5,12.9,124,46,338,13.75,35.5,117,6.4,19,26.75,36,10.6,21,39.75,250,6,212.93,214.05,"5,097.80",,161.78
09/01/2015,16.4,83,145,901,138,28.25,15.75,22.75,50,9.65,19,121,63,245,310,37.75,49,3.7,8.5,3.95,45.3,122,450,138,56,9.75,8.75,17.6,15.9,6.7,5.5,9.1,200,"1,500.00",23.5,771,10.75,2.15,25,63.25,275,20.65,6,110,55,12.8,125,46.5,337,13.75,35.5,117,6.35,19.3,26.25,36,10.5,21,39.25,250,6.05,212.97,214.05,"5,121.76",,162.08
12/01/2015,15.95,82,153,901,138,28,15.75,22.25,50,9.5,19.1,117,62.75,245,306,39.75,49,3.6,8.5,4,45.95,125,451,150,56.5,9.8,8.8,17.85,15.75,6.7,5.5,9.05,200,"1,500.00",23,771,10.6,2.3,25.25,63,271,20.75,6,110,51,12.75,125,47,340,13.85,35.25,117,6.2,18.95,26.25,36.25,10.5,19,38.5,275,6.3,212.86,214.01,"5,121.99",,162.05
13/01/2015,15.95,83,147,901,138,28.5,15.85,22.5,50,9.45,19,117,65.75,237,305,38,49.75,3.65,8.5,4,45.9,125,460,150,57.5,9.9,8.95,17.65,15.65,6.7,5.5,9,200,"1,500.00",23,771,10.7,2.45,25.75,63.75,273,20.95,6.05,110,55,12.6,126,43.75,338.75,14.7,35.5,117,6.3,18.7,25,36.5,10.5,19,38.75,281,6.35,217.17,218.2,"5,138.07",,164.76
14/01/2015,16.05,81.5,154,900,138,28.75,15.7,22.25,50,9.45,19.05,117,69.25,238,305,39,50.5,3.65,8.5,4.05,45.3,124.25,453,150,59,9.7,9.05,17.5,15.15,6.05,5.5,9.3,200,"1,500.00",23,771,10.05,2.7,26.25,64.75,274,20.95,6.1,110,55,12.9,125,46.75,337.25,14.85,35.5,117,6.35,18.05,26.25,36.5,10.7,19,41,281,5.95,219.68,220.74,"5,193.93",,166.08
15/01/2015,16.25,81,152,900,138,29.25,15.9,22.25,52,9.65,19.1,117,65.5,235,304,41.25,51,3.8,8.35,4,44.8,125,453,150,58,9.7,9.3,17.75,15.3,5.55,5.5,9.45,200,"1,500.00",23,771,10.25,2.9,26.75,64,281,20.75,6.25,110,55.5,12.95,126,46.75,339.5,14.6,38.75,117,6.45,18,26.75,36.75,10.8,19,40.25,281,6,218.64,219.85,"5,201.61",,165.47
16/01/2015,16.4,80.5,151,900,138,29.75,15.8,23,50,9.9,19.1,111,65.5,237,305,42,51.5,3.8,8.1,4,46.7,124.5,460,150,59,9.9,9.35,17.95,15.15,5.3,5.5,9.5,200,"1,500.00",23.25,845,9.95,3.2,27,64.25,278,20.5,6.65,110,60.5,12.45,125,45.5,338.75,14.8,35.5,117,6.55,19,27.25,39,11.7,19,40.75,281,6.1,220.91,222.31,"5,203.72",,166.81
19/01/2015,16.25,80.5,150,900,146,29.75,15.65,23,49,9.9,19.15,111,65.25,237,305,39,52,3.85,8.35,3.95,45.65,124,451,150,59,9.7,9.2,17.75,15,5.3,5.5,9.35,200,"1,500.00",23.25,845,9.1,3.5,26.75,63.25,276,20,6.95,110,60,12.5,125,46.25,336.75,14.55,36,117,6.6,19.15,27,36,12.75,20,39.75,309,5.95,220.11,221.78,"5,177.38",,165.88
20/01/2015,16.3,80.5,152,900,140,29,15.9,23.5,49,9.9,19.2,113,64.75,238,309,39,51,3.95,8.3,3.95,48.6,124,451,150,58.5,9.55,8.95,17.7,14.9,5.3,5.5,9.35,200,"1,500.00",23.5,845,9,3.35,25.25,65,277,19.95,7.4,110,57.5,12.7,124,44.25,336.75,13.95,36.25,117,6.55,19.65,26.75,36.25,12.95,20,39.75,309,6.05,217.12,218.99,"5,139.06",,164
21/01/2015,16.15,81,158,905,138,28.75,16.05,23.25,49,9.9,19.25,113,64,241,306,40,51,3.8,8.25,3.95,48.95,126,450,150,58,9.6,8.95,17.55,14.95,5.3,5.5,9.45,205,"1,500.00",23.5,925,9.3,3.05,25,66.75,272,20.25,7.9,110,55.5,12.95,125,45.5,336,14.15,35.5,116,6.1,19.15,26.75,37,12.85,20.75,43,309,5.85,217.15,218.85,"5,159.96",,164.78
22/01/2015,16.05,81,152,906,138,28.75,16,23.75,49,9.95,19.3,113,64.5,243,309,42,52,3.9,8.25,4,47.8,124,460,150,59,9.5,9.3,17.5,15,5.3,5.5,9.55,211,"1,500.00",23.25,925,10.05,2.75,25.25,66.75,268,20.6,7.25,110,55,12.95,124,46.25,336,14.2,38.25,117,6.2,19,26.75,36.5,12.75,20,40.75,290,6.15,219.1,220.73,"5,172.88",,165.17
23/01/2015,16.1,82.5,154,906,138,29.5,16,23.75,47,9.9,19.5,113,64.25,240,313,38,55,3.8,8.35,3.95,48.05,124,486,150,59.5,9.5,9.15,17.35,15,5.3,5.5,9.9,211,"1,500.00",23.25,925,10.2,2.6,24.75,66.75,277,20.55,6.75,110,60,12.9,124,45.25,341,14.15,38.25,115,6.05,19.5,26.5,38.75,12.6,20,41.5,290,6.25,222.56,224.27,"5,217.88",,166.68
26/01/2015,16.2,81,148,901,139,29.75,16.05,24,47.5,9.95,19.35,113,65.5,244,313,39.5,54,3.75,8.1,3.95,48.1,123,459,150,59,9.5,9.2,17.45,15.1,5.3,5.5,10.65,210,"1,500.00",23.25,925,10.05,2.7,25,67,268,20.5,6.4,110,60,12.9,125,44.75,338,14,36.75,115,6.2,18.95,26.5,35.75,12.85,20,42.5,300,6.1,221.34,223.02,"5,209.84",,165.61
27/01/2015,16.15,81.5,154,900,139,28.75,16.1,24.5,49.5,9.9,19.15,116,63.5,241,315,37,54,4,8.2,3.9,48.85,124,459,150,58,9.6,9.2,17.2,15.2,5.3,5.5,10.85,218,"1,500.00",23.25,926,9.95,2.9,25,67.5,268,19.95,6.35,110,60,12.95,125,44.75,341,14.1,36.75,115,6.3,18.3,26.5,37.75,12.7,20,42,300,6.2,220.66,222.54,"5,213.48",,165.82
28/01/2015,16.2,81.5,151,900,140,28,15.9,24.75,52.5,9.95,19.1,122,63.75,245,314,40.5,53.5,3.75,8.5,3.95,48.15,122,455,150,58.5,9.6,9.55,17.2,15.2,5.3,5.5,10.75,218,"1,500.00",23.5,"1,017.00",9.9,2.9,25.25,66.75,270,20.85,6.45,110,60,12.95,125,43.75,342.75,14.15,33.75,116,6.2,19.85,26.5,37.5,12.95,21,42.25,300,6.05,220.55,222.39,"5,207.04",,165.88
29/01/2015,16.1,82.5,150,900,139,27.75,15.85,25,55,9.95,19.05,122,63.25,245,310,41.75,53.5,3.9,8.2,3.95,42.2,120.25,457,150,58,9.5,9.6,17.45,15.1,5.3,5.5,10.65,218,"1,500.00",24.25,"1,017.00",9.85,2.7,25.25,65.5,270,20.1,6.4,110,65,12.85,125,45,339.75,14.1,37,116,6.65,19.85,26.75,36.5,12.65,21,42,300,6.35,219.75,221.5,"5,194.21",,165.23
30/01/2015,16.15,82,149,900,138,27.75,15.85,24.75,55,9.95,19.25,122,62,244,311,41.25,54,3.95,8.2,3.95,39.45,124,462,150,58.5,9.45,9.8,17.55,15.15,5.3,5.5,10.95,220,"1,500.00",24,"1,017.00",9.95,2.9,25,66,276,20,6.35,110,65,12.95,126,44.25,341.75,14.15,37,118,6.3,19.6,26.5,36.25,12.65,21,40.25,298,6.1,220.65,222.27,"5,212.11",,165.8
02/02/2015,16.15,83,151,900,145,28.5,15.85,25.25,54.5,10,19.8,130,62.75,243,312,40.5,53.5,4.1,8.1,3.95,38.45,124,463,150,58.5,9.45,9.45,17.5,15.45,5.3,5.5,11,225,"1,500.00",24,"1,017.00",9.15,3.15,25,65.5,270,19.95,6.45,110,60,12.95,125,44,339.25,14.2,37.75,118,6.25,18.05,27.25,37.25,12.6,21,41.75,298,6.35,221.11,222.66,"5,222.76",,166.25
