Date,ABSA,ARM,BAMB,BAT,BOC,BRIT,CABL,CARB,CGEN,CIC,COOP,CRWN,CTUM,DCON,DTK,EABL,EGAD,EQTY,EVRD,FAHR,FTGH,HAFR,HFCK,IMH,JUB,KAPC,KCB,KEGN,KENO,KNRE,KPLC,KPLC-P4,KPLC-P7,KQ,KUKZ,KURV,LBTY,LIMT,LKL,MSC,NBK,NBV,NCBA,NMG,NSE,OCH,ORCH,PORT,SASN,SBIC,SCAN,SCBK,SCOM,SGL,SLAM,SMER,TCL,TOTL,TPSE,UCHM,UMME,UNGA,WTK,XPRS,^FNK15,^N20I,^N25I,^NASI
09/05/2015,7.95,19.75,160,781,90,10,5.35,13.35,18,3.15,15.25,51,38.45,4.2,125,230,22,32.5,3.8,10.9,4.95,0.8,9.78,90,444,75,33.25,6.6,12.2,18.4,6.55,5.5,6,6.25,315,"1,500.00",10.3,550,4.1,0.8,6.3,7.9,26.95,101,13.7,2.45,95,23.5,26,62,18.5,195.5,20.25,26.75,25,2.5,7.1,20.75,23,2.6,15.95,28.5,172,3.3,166.26,"3,141.69","3,567.06",135.96
03/01/2017,8.7,23.5,160,909,83,12.6,5.95,13,27,3.95,13,42,37.8,6.05,118,240,27.75,30,2.35,11.95,4.8,1.2,13.65,88.25,490,80,29,5.75,14.95,22.7,8,5.5,6,5.8,280,"1,500.00",13.45,530,4.8,1.25,7.5,7.9,25.4,93,14.6,2.85,95,23.5,19.9,70.5,17.65,188,19,18,27.75,2.8,7.35,17.05,20.5,3.75,13,34.5,178,3.55,161.33,"3,206.24","3,512.78",132.61
04/01/2017,8.9,23.75,157,909,83,11.6,5.95,13,27,3.95,13.45,42,38.85,6.1,118,232,27.25,30,2.45,11.9,5.2,1.25,13.6,89.5,490,80,29.25,5.7,14.95,22.75,8.2,5.5,6,5.75,280,"1,500.00",13.75,530,4.8,1.25,6.95,7.9,25.05,88,14.3,2.85,95,23.5,19.85,69.5,18,190.5,18.95,18,27.5,2.8,7.15,17,20.5,3.75,13,32,178,3.4,160.87,"3,194.13","3,498.99",132.27
05/01/2017,8.8,23,158,900,83,11,6.1,13.15,27,3.9,13.4,42,38.85,6.1,124,233,27.25,29.75,2.4,11.7,5.15,1.2,13.55,89.5,490,80,28.75,5.7,15,22.8,8.35,5.5,6,5.7,280,"1,500.00",13.9,530,4.8,1.25,6.95,7.9,25.5,88,14.7,3.05,95,23.5,20.25,70,16.25,187,18.8,18,27,2.95,7.15,17,20.5,3.55,13,32.25,175,3.4,159.84,"3,170.71","3,481.64",131.45
06/01/2017,8.75,23,158,900,83,11.2,6.2,13.05,27,3.9,13,42,38.9,6.1,118,229,27.25,28.75,2.35,11.75,5.15,1.25,12.65,90.5,490,79,27.75,5.75,14.65,22.95,8,5.5,6,5.65,280,"1,500.00",13.5,530,4.9,1.3,6.85,7.9,25.15,88,14.85,3,95,22,20.75,70,16.3,183.75,18.6,18,27,2.95,7,17.15,20,3.55,13,32.25,170,3.4,156.65,"3,139.21","3,425.13",129.76
09/01/2017,8.6,23.25,155,900,83,10.95,6,13.1,27,3.9,12.85,42,38.2,6.1,120,225,27.25,28.25,2.35,11.7,5.15,1.2,12.4,90,495,78,27.25,5.7,14.9,22.8,7.95,5.5,6,5.65,308,"1,500.00",14,530,4.9,1.3,6.5,7.9,25.2,87.5,14.65,3,95,23,20.25,68.5,16.9,185,18.5,18,26.25,2.8,7,17,19.75,3.2,13,32,169,3.4,154.68,"3,117.40","3,390.17",128.86
10/01/2017,8.5,23,156,900,85.5,10.85,6.15,13.05,27,3.85,12.6,42.75,37.45,5.8,119,224,27.25,27.5,2.35,11.65,5.05,1.2,12.05,89,495,79,27.25,5.7,14,22,7.95,5.5,6,5.65,281,"1,500.00",13.55,530,4.9,1.2,6.55,7.9,25,87.5,14.1,3,95,23.25,19.85,68,17,180.5,18.2,18,25.5,2.75,7,17.25,19.5,3.45,13,32,168,3.1,152.53,"3,083.68","3,346.83",127.22
11/01/2017,8.5,23,156,850,85.5,10.4,6,13.05,27,3.85,12.15,42.75,37.35,5.8,118,223,24.75,26.75,2.35,11.55,5,1.15,12,87,495,79,27,5.7,14,22.75,7.9,5.5,6,5.65,281,"1,500.00",13.55,530,4.85,1.15,6.5,7.9,25,86.5,13.5,3,95,24,19.45,68,17,182,18,18,25.25,2.8,6.8,17.05,19.75,3.3,13,32,165,3.1,150.86,"3,047.68","3,302.98",125.76
12/01/2017,8.3,22.5,155,850,85.5,10.4,6.15,12.95,25.5,3.8,12.2,43,35.95,5.8,119,218,22.5,26.25,2.35,11.5,4.75,1.15,11.7,87,495,79,26.5,5.65,13.95,21.85,7.9,5.5,6,5.6,281,"1,500.00",13.5,530,4.85,1.05,6.45,7.7,24.45,80,13.3,2.95,95,24,20,67.5,17,183,17.95,18,25.5,2.85,6.8,17,19.9,3.3,13,32.25,165,3.3,148.68,"3,014.36","3,262.53",124.75
13/01/2017,8.15,22,155,850,88,10.35,6.2,13.05,25.5,3.8,12.05,43,35.75,5.8,116,215,22.5,25.75,2.45,11.45,4.75,1.1,11.85,87,495,79,26.5,5.6,13.55,21.9,7.8,5.5,6,5.55,281,"1,500.00",13.45,530,4.75,1.1,6.45,7.9,22.65,79.5,13.05,3.05,95,23.5,18.25,65.5,17,180,17.95,18,24.5,2.7,6.8,17.05,19.3,3.3,13,32,163,3.3,147.43,"2,971.10","3,228.69",123.94
