Date,ABSA,ARM,BAMB,BAT,BKG,BOC,BRIT,CABL,CARB,CGEN,CIC,COOP,CRWN,CTUM,DCON,DTK,EABL,EGAD,EQTY,EVRD,FTGH,GLD,HAFR,HBE,HFCK,IMH,JUB,KAPC,KCB,KEGN,KNRE,KPLC,KPLC-P4,KPLC-P7,KQ,KUKZ,KURV,LBTY,LIMT,LKL,MSC,NBK,NBV,NCBA,NMG,NSE,OCH,ORCH,PORT,SASN,SBIC,SCAN,SCBK,SCOM,SGL,SLAM,SMER,TCL,TOTL,TPSE,UCHM,UMME,UNGA,WTK,XPRS,^N20I,^N25I,^NASI,^ZKEQTK,^ZKEQTU
03/01/2023,12.2,5.55,31.45,460,30,70.75,5.2,0.85,11.95,49,1.91,12.1,41.5,8.2,0.45,49.85,170,10.5,45.05,0.72,1.1,"2,165.00",0.34,4.66,3.15,17.05,198.75,115.75,38.35,3.22,1.87,1.62,4.11,6,3.83,385,"1,500.00",5.04,420,3,0.27,4.12,3.94,38.95,15.8,6.8,2.96,10.4,6.8,22.45,102,2.87,145,24.05,10.45,9.58,2.12,0.99,23.85,13,0.21,7.48,32,160,4.63,"1,675.40","3,138.24",127.34,"2,018.67","1,407.35"
04/01/2023,12.1,5.55,31.15,459.5,30.05,70.75,5.14,0.86,12.3,49,1.97,12.1,40,8.46,0.45,51,169,10.55,45.15,0.69,1.1,"2,165.00",0.34,4.66,3.06,17.05,193.25,115.75,38.2,3.26,1.86,1.67,4.11,6,3.83,385,"1,500.00",4.59,420,3,0.27,4.12,3.97,38.8,15.9,6.8,2.96,10.4,6.8,22.45,102,3,149.25,23.9,9.42,8.64,2.13,0.95,23.65,13,0.23,7.5,32,160,4.87,"1,685.71","3,129.56",126.94,"2,015.07","1,405.97"
05/01/2023,12.05,5.55,31.3,459.75,30,71,5.26,0.86,12.4,48.2,1.95,12.25,38,8.5,0.45,51.25,174.25,10.55,45.35,0.71,1.1,"2,165.00",0.35,4.66,3.12,17.15,191,104.25,38.35,3.26,1.88,1.69,4.11,6,3.83,385,"1,500.00",4.59,420,3.2,0.27,4.12,4.32,38.6,16.35,6.96,2.98,10.4,7.46,22.4,102.25,3.03,148.75,23.9,8.74,7.94,2.12,1.04,21.85,13,0.23,7.5,32,154.75,5,"1,699.48","3,146.09",127.32,"2,032.74","1,416.01"
06/01/2023,12.05,5.55,31.45,460,30,71,5.4,0.9,12.4,47,1.95,12.4,38,8.32,0.45,52,173.75,10.55,45.55,0.7,1.1,"2,165.00",0.35,4.66,3.1,17.4,200,104.25,39.2,3.24,1.89,1.68,4.11,6,3.83,385,"1,500.00",4.66,420,3.25,0.27,4.12,4.66,39.65,16.25,6.98,2.72,10.4,7.46,21.95,102.25,3.02,150.5,23.5,8.74,7.94,2.12,1.13,24,13.9,0.23,7.5,32,160,4.5,"1,705.33","3,154.48",126.85,"2,038.18","1,420.37"
09/01/2023,12.1,5.55,31,458.75,30,71,5.32,0.98,12.4,48,1.92,12.4,38,8.56,0.45,53,174,10.55,45.5,0.74,1.1,"2,165.00",0.35,4.66,3.1,17.15,200,104.25,39.05,3.23,1.92,1.68,4.11,6,3.83,385,"1,500.00",4.57,420,3.2,0.27,4.12,4.77,40,16,6.86,2.96,10.4,7.64,22.4,107.5,3,153.75,23.35,8.74,8.72,2.33,1.13,23.95,13.9,0.24,7.54,31,160,4.5,"1,710.71","3,157.30",126.69,"2,037.90","1,419.03"
10/01/2023,12.05,5.55,30.35,459.25,30,71,5.3,0.98,12.4,47,1.85,12.3,38,8.48,0.45,55.25,172.25,10.55,45.5,0.71,1.1,"2,165.00",0.33,4.66,3.1,17,200,104.25,39.05,3.21,1.9,1.63,4.11,6,3.83,385,"1,500.00",4.59,420,3.02,0.27,4.12,4.76,39.8,15.95,6.82,2.96,10.4,7.64,22.1,108.75,3.01,156,22.95,8.74,8.92,2.2,1.09,23.95,13,0.23,7.54,31,156.25,4.95,"1,705.35","3,138.76",125.54,"2,029.03","1,412.28"
11/01/2023,12.25,5.55,30.55,455.25,30,72,5.36,1.04,12.4,48,1.94,12.5,38.35,8.56,0.45,54,171.5,11.35,46.05,0.71,1.1,"2,165.00",0.32,4.66,3.11,17,199.5,104.25,38.95,3.19,1.86,1.64,4.11,6,3.83,385,"1,500.00",5.04,420,3,0.27,4.12,4.74,39.55,15.95,7,2.98,10.4,8,21.9,108.5,3,159,22.65,9.6,9.04,2.38,1.11,22.9,12,0.22,8,31,156.25,5.1,"1,708.07","3,137.61",125.05,"2,030.74","1,411.76"
12/01/2023,12.35,5.55,30.05,451,30,72,5.5,1.05,12.4,45,1.95,12.3,38.35,8.5,0.45,53,170,11.35,46.9,0.69,1.1,"2,165.00",0.35,4.66,3.13,17,199.75,108.75,38.9,3.17,1.86,1.59,4.11,6,3.83,385.25,"1,500.00",5.04,420,3,0.27,4.12,4.7,39.95,16,6.92,3,10.4,7.5,20.9,108.5,3.2,156.25,22.25,10.3,9.04,2.16,1.12,22.4,12,0.22,8.12,31,156.25,5.1,"1,705.35","3,129.65",124.01,"2,026.21","1,409.18"
13/01/2023,12.25,5.55,29.05,450,30,72,5.56,1.01,12.35,45,1.95,12.6,38.35,8.34,0.45,53,172.5,11.25,46.55,0.73,1.1,"2,165.00",0.35,4.66,3.14,17,195,109,38.7,3.18,1.86,1.58,4.11,6,3.83,385.25,"1,500.00",5.52,420,3.27,0.27,4.12,4.53,38.7,15.65,6.9,3,11.4,6.94,21.4,108.75,3.14,155.5,22,10.5,9.04,2.16,1.12,22.4,12,0.22,8.1,31,156,5.1,"1,695.23","3,116.02",123.26,"2,022.96","1,406.36"
16/01/2023,12.25,5.55,29.9,449.75,30,72,5.52,0.99,12.4,45,1.95,12.3,39,8.58,0.45,54.5,172,11.25,46.5,0.73,1,"2,165.00",0.35,4.66,3.2,17,195,109,38.5,3.16,1.82,1.52,4.11,6,3.83,385.25,"1,500.00",5.52,420,3.27,0.27,4.12,4.31,39.1,15.9,6.9,2.79,11.4,6.94,20.65,108.75,3.17,155.75,21.55,9.54,9.04,2.16,1.15,22.65,12,0.23,8.04,31,155,5.1,"1,694.71","3,096.89",121.96,"2,013.49","1,399.21"
