Date,ABSA,ARM,BAMB,BAT,BKG,BOC,BRIT,CABL,CARB,CGEN,CIC,COOP,CRWN,CTUM,DCON,DTK,EABL,EGAD,EQTY,EVRD,FTGH,GLD,HAFR,HBE,HFCK,IMH,JUB,KAPC,KCB,KEGN,KNRE,KPLC,KPLC-P4,KPLC-P7,KQ,KUKZ,KURV,LAPR,LBTY,LIMT,LKL,MSC,NBK,NBV,NCBA,NMG,NSE,OCH,ORCH,PORT,SASN,SBIC,SCAN,SCBK,SCOM,SGL,SLAM,SMER,TCL,TOTL,TPSE,UCHM,UMME,UNGA,WTK,XPRS,^N10I,^N20I,^N25I,^NASI,^ZKEQTK,^ZKEQTU
02/01/2024,11.55,5.55,36,425,35.5,82,5.14,0.98,15,25,2.29,11.35,35.65,8.4,0.45,44.75,116.25,12.8,34.2,1.18,1.14,"2,915.00",0.39,4.66,3.45,17.45,185,215,21.95,2,1.85,1.4,4.11,6,3.83,385,"1,500.00",20,3.86,380,2.41,0.27,4.12,2.46,38.85,20.4,5.8,3.27,19.5,8,20,106,2.18,160.25,13.75,7.74,6,2.27,0.52,18,16.25,0.18,15.55,16.85,228,3.7,911.24,"1,508.83","2,387.30",91.97,"1,577.90",863.41
03/01/2024,11.45,5.55,36,425,33.5,82,4.71,1,15,25.1,2.28,11.2,35,8.36,0.45,45.75,120.5,12.8,35.6,1.24,1.13,"2,915.00",0.4,4.66,3.56,17.5,185,215,22.8,2,1.89,1.45,4.11,6,3.83,385,"1,500.00",20,3.86,380,2.41,0.27,4.12,2.46,38.05,20.55,6.08,3.5,19.5,8,19.8,106.5,2.09,164.5,13.65,7.74,6,2.27,0.47,18,16.45,0.19,14.4,16.85,228,3.7,922,"1,509.36","2,410.69",92.11,"1,610.32",880.31
04/01/2024,11.55,5.55,36.4,428.5,35.8,82,4.75,0.98,15,25.05,2.19,11.25,35,8.4,0.45,46.25,123,13.95,35.65,1.22,1.13,"2,915.00",0.4,4.66,3.37,17.5,185,225,22.7,2,1.82,1.41,4.11,6,3.83,385,"1,500.00",20,4.22,380,2.17,0.27,4.12,2.46,38.45,20.45,6.08,3.27,19.5,8,19.75,110,2.06,161.25,13.6,7.74,5.6,2.09,0.51,17.35,16.45,0.18,15.55,16.85,237,3.7,926.05,"1,512.22","2,422.91",92.48,"1,613.84",882.23
05/01/2024,11.65,5.55,37.5,428.5,35.8,82,4.94,0.99,15.35,25.05,2.2,11.25,35,8.46,0.45,46.5,122.5,13.95,35.65,1.21,1.13,"2,915.00",0.39,4.66,3.35,17.5,185,225,22.55,2,1.83,1.4,4.11,6,3.83,385,"1,500.00",20,4.22,380,2.17,0.27,4.12,2.46,38.05,20.4,6.08,3.47,19.5,8,20,111.25,2.07,162.25,13.6,7.74,5.6,2.25,0.52,18,16.45,0.18,15.5,16.85,237,3.7,924.92,"1,518.40","2,424.34",92.55,"1,613.03",881.79
08/01/2024,11.65,5.55,37.5,428.5,35.8,82,4.94,0.99,15.35,25.05,2.2,11.25,35,8.46,0.45,46.5,122.5,13.95,35.65,1.21,1.13,"2,915.00",0.39,4.66,3.35,17.5,185,225,22.55,2,1.83,1.4,4.11,6,3.83,385,"1,500.00",20,4.22,380,2.17,0.27,4.12,2.46,38.05,20.4,6.08,3.47,19.5,8,20,111.25,2.07,162.25,13.6,7.74,5.6,2.25,0.52,18,16.45,0.18,15.5,16.85,237,3.7,924.92,"1,518.40","2,424.34",92.55,"1,613.03",881.79
09/01/2024,11.5,5.55,35,434.25,35,82,4.8,0.94,15.45,25,2.19,11.3,35.75,8.3,0.45,44.75,122,11.8,35.6,1.25,1.14,"2,915.00",0.36,4.66,3.29,17.5,182.25,234,22,1.99,1.85,1.38,4.11,6,3.83,360,"1,500.00",20,4.62,380,2.3,0.27,4.12,2.16,37.8,20.75,5.92,3.2,19.5,8,21.95,108,2.18,163.5,13.65,7.74,6,2.35,0.5,17.1,16.45,0.18,15.7,16.85,242.5,3.7,921.42,"1,504.36","2,409.58",92.29,"1,606.72",874.18
10/01/2024,11.25,5.55,34.8,426.5,35.8,82,5,0.9,15.5,25,2.22,11.3,35.75,8.32,0.45,45,121,12.9,35.9,1.31,1.14,"2,970.00",0.37,4.66,3.29,17.5,183,234,22,1.99,1.89,1.38,4.11,6,3.83,360,"1,500.00",20,4.62,380,2.3,0.27,4.12,2.16,37.75,20.3,5.96,3.22,19.5,8,20,105.5,2.18,162.5,13.8,7.74,6,2.35,0.49,18,16.45,0.19,16,16.85,240,3.7,922.32,"1,505.37","2,408.70",92.57,"1,604.16",868.67
11/01/2024,11.4,5.55,35.55,420.75,35.8,82,5,0.88,15.5,25,2.22,11.3,35.75,8.36,0.45,44.95,120.75,12.9,35.85,1.31,1.14,"2,970.00",0.38,4.66,3.46,17.5,183.5,234,21.95,1.99,1.95,1.38,4.11,6,3.83,360,"1,500.00",20,4.93,380,2.24,0.27,4.12,2.16,37.95,20,6.18,3.5,19.5,8,22,101.75,2.34,162.25,13.9,7.74,6,2.35,0.51,18,16.45,0.19,15.15,16.85,233.25,3.7,924.86,"1,506.21","2,409.30",92.71,"1,604.84",871.78
12/01/2024,11.3,5.55,35,430,35.8,82,5.12,0.88,15.2,25,2.26,11.25,35,8.26,0.45,44.75,120,12.9,35.8,1.21,1.14,"2,990.00",0.35,4.66,3.41,17.5,180,234,22,2,1.95,1.38,4.11,6,3.83,360,"1,500.00",20,5,380,2.24,0.27,4.12,2.16,37.8,20,6.06,3.5,19.5,8,22,111.75,2.22,161,13.9,7.74,6,2.13,0.51,17.35,16.4,0.18,14.7,16.85,230,3.7,922.28,"1,514.07","2,416.68",92.8,"1,603.96",865.84
15/01/2024,11.4,5.55,34.8,430,36,82,5,0.96,15.9,27,2.27,11.3,35,8.4,0.45,44.8,120,12.9,35.55,1.27,1.05,"2,990.00",0.35,4.66,3.5,17.45,198,234,21.95,1.99,1.98,1.37,4.11,6,3.83,360,"1,500.00",20,4.53,380,2.24,0.27,4.12,2.16,37.6,20.35,6,3.5,19.5,8,21.85,111.75,2.15,161.25,13.9,7.74,6.14,2.24,0.5,16.6,16.4,0.19,15.95,16.85,231,3.7,921.57,"1,515.21","2,417.94",92.97,"1,602.57",862.38
