Date,ABSA,AMAC,ARM,BAMB,BAT,BKG,BOC,BRIT,CABL,CARB,CGEN,CIC,COOP,CRWN,CTUM,DCON,DTK,EABL,EGAD,EQTY,EVRD,FTGH,GLD,HAFR,HBE,HFCK,IMH,JUB,KAPC,KCB,KEGN,KNRE,KPLC,KPLC-P4,KPLC-P7,KQ,KUKZ,KURV,LAPR,LBTY,LIMT,LKL,MSC,NBV,NCBA,NMG,NSE,OCH,PORT,SASN,SBIC,SCAN,SCBK,SCOM,SGL,SKL,SLAM,SMER,SMWF,TCL,TOTL,TPSE,UCHM,UMME,UNGA,WTK,XPRS,^N10I,^N20I,^N25I,^NASI,^NBDI,^NBSI,^ZKEQTK,^ZKEQTU
2025-01-02,18.85,70.0,5.55,55.0,376.25,35.0,88.75,5.82,1.06,20.35,25.0,2.14,17.45,33.9,10.2,0.45,66.75,175.5,12.0,48.0,1.17,0.96,3260.0,0.37,4.66,4.6,36.0,174.75,239.25,42.4,3.75,1.35,5.18,4.0,6.0,3.83,392.5,1500.0,20.0,6.7,350.0,2.3,0.27,2.01,51.0,14.4,5.9,2.81,29.05,15.0,139.75,2.51,285.25,17.2,4.99,,4.95,2.44,,0.4,20.35,15.85,0.16,16.7,15.0,224.75,3.6,1327.4,2058.67,3457.87,125.34,1108.71,,2547.58,1697.07
2025-01-03,19.0,70.0,5.55,55.5,371.75,35.0,88.75,5.64,1.05,19.6,24.25,2.15,17.65,35.55,10.95,0.45,67.0,176.5,12.0,48.0,1.06,0.98,3260.0,0.35,4.66,4.74,36.15,175.25,235.0,42.8,3.89,1.41,5.42,4.0,6.0,3.83,392.5,1500.0,20.0,6.58,350.0,2.3,0.27,2.01,50.75,14.85,5.9,2.73,30.7,15.25,144.25,2.31,291.25,17.35,5.0,,4.82,2.65,,0.4,21.5,15.0,0.16,16.75,14.4,224.75,3.44,1335.89,2088.97,3483.67,126.36,1108.69,,2564.79,1708.53
2025-01-06,18.85,70.0,5.55,55.25,372.75,35.0,86.0,6.16,1.06,19.25,24.0,2.19,17.65,32.0,10.25,0.45,68.5,179.0,12.0,47.8,1.12,1.0,3260.0,0.36,4.66,4.83,36.1,189.5,235.0,42.9,3.97,1.38,5.86,4.0,6.0,4.05,392.5,1500.0,20.0,6.26,350.0,2.3,0.27,2.01,49.2,14.0,6.16,2.87,28.25,14.9,145.5,2.54,295.5,17.6,4.51,,5.18,2.67,,0.41,20.65,15.0,0.16,17.0,15.1,224.5,3.5,1336.77,2095.88,3494.82,127.28,1109.18,,2578.16,1716.78
2025-01-07,18.5,70.0,5.55,55.0,373.5,34.85,86.0,6.56,1.06,19.55,25.15,2.27,17.8,33.1,10.05,0.45,68.25,177.75,11.65,47.95,1.1,0.96,3260.0,0.37,4.66,4.99,36.55,190.0,235.0,43.0,4.24,1.38,6.44,4.0,6.0,4.33,392.5,1500.0,20.0,6.26,350.0,2.3,0.27,2.0,49.95,14.0,6.3,2.72,29.5,16.0,156.75,2.65,300.25,17.7,4.65,,4.82,2.55,,0.4,20.8,15.0,0.17,17.35,15.4,224.0,3.38,1338.87,2132.26,3520.92,128.43,1109.52,,2579.72,1716.49
2025-01-08,18.8,70.0,5.55,54.5,374.5,34.9,86.25,7.08,1.05,19.25,24.0,2.29,17.8,32.0,10.45,0.45,68.5,179.5,11.65,47.6,1.15,0.96,3260.0,0.36,4.66,5.3,35.4,190.0,233.0,42.8,4.13,1.39,6.98,4.0,6.0,4.76,392.5,1500.0,20.0,6.6,350.0,2.3,0.27,2.0,49.25,13.55,6.62,2.94,28.35,16.0,156.0,2.71,302.5,17.8,4.95,,5.08,2.75,,0.41,21.0,15.45,0.17,17.45,15.4,222.0,3.15,1340.58,2145.52,3522.61,128.93,1109.82,,2586.9,1723.26
2025-01-09,18.8,70.0,5.55,54.25,372.75,34.95,86.25,6.54,1.09,19.2,24.0,2.33,17.35,32.0,10.5,0.45,69.75,176.0,11.65,47.6,1.16,0.95,3260.0,0.34,4.66,5.38,35.05,190.0,232.75,42.9,4.32,1.44,7.4,4.0,6.0,5.22,392.5,1500.0,20.0,6.5,350.0,2.35,0.27,2.07,49.1,13.2,6.5,2.9,28.0,15.95,156.5,2.74,293.25,17.95,4.77,,5.06,2.6,,0.43,20.8,16.25,0.17,17.4,16.0,221.25,3.1,1335.86,2142.52,3508.57,128.97,1109.79,,2575.13,1712.12
2025-01-10,19.1,70.0,5.55,54.0,370.25,35.0,86.25,6.58,1.1,19.35,24.0,2.32,16.6,32.0,10.8,0.45,70.0,179.5,12.0,47.5,1.12,0.97,3260.0,0.36,4.66,5.8,33.95,190.5,232.75,43.3,4.3,1.53,6.94,4.0,6.0,5.74,400.0,1500.0,20.0,7.14,350.0,2.45,0.27,2.11,48.45,13.55,6.76,2.99,27.5,16.05,157.0,2.89,300.0,18.1,4.71,,5.12,2.7,,0.44,20.9,16.25,0.18,17.05,17.0,222.0,3.1,1338.17,2145.27,3511.33,129.64,1107.13,,2600.85,1734.57
2025-01-13,18.7,70.0,5.55,54.75,366.25,35.0,86.25,7.0,1.14,19.3,24.0,2.35,16.55,31.2,10.9,0.45,68.75,175.75,12.0,47.8,1.16,0.96,3260.0,0.35,4.66,6.36,34.55,194.5,232.75,43.45,4.28,1.63,6.28,4.0,6.0,6.3,400.0,1500.0,20.0,7.12,350.0,2.5,0.27,2.0,47.35,13.6,6.84,3.0,26.15,15.7,150.75,2.77,299.75,18.2,4.8,,5.02,2.61,,0.44,21.05,15.8,0.19,16.85,17.0,221.25,3.1,1332.06,2142.3,3494.13,129.66,1101.35,,2591.95,1723.3
2025-01-14,18.45,70.0,5.55,57.75,370.25,35.0,86.25,7.12,1.12,19.7,26.0,2.38,16.45,31.05,11.0,0.45,68.5,178.5,10.85,48.35,1.12,1.0,3260.0,0.36,4.66,6.9,34.4,192.0,236.25,43.45,4.18,1.73,6.46,4.0,6.0,6.92,400.0,1500.0,20.0,6.54,332.0,2.31,0.27,2.0,47.15,13.75,6.78,3.0,25.4,15.3,146.5,2.88,295.75,18.1,5.02,,5.14,2.57,,0.45,21.1,16.0,0.19,17.0,17.0,220.0,3.1,1333.78,2156.21,3492.58,129.73,1101.37,,2595.91,1725.93
2025-01-15,17.2,70.0,5.55,57.5,370.5,34.8,86.25,7.46,1.13,19.75,24.1,2.47,15.85,31.05,11.2,0.45,68.25,177.5,10.85,48.0,1.21,1.0,3260.0,0.39,4.66,7.52,34.0,194.75,236.25,43.3,4.16,1.67,6.96,4.0,6.0,7.6,395.0,1500.0,20.0,6.5,332.0,2.5,0.27,2.02,47.25,13.25,6.74,3.0,25.9,15.45,144.5,2.82,289.25,18.25,5.0,,5.18,2.5,,0.46,20.75,15.25,0.18,17.25,17.0,218.75,3.1,1317.64,2148.56,3456.68,129.47,1100.96,,2568.1,1707.44
