Date,ABSA Bank Kenya Plc,ABSA NewGold ETF,ARM Cement Plc,Africa Mega Agricorp Plc,BK Group Plc,BOC Kenya Plc,Bamburi Cement Ltd,Britam Holdings Plc,British American Tobacco Kenya Plc,CIC Insurance Group Ltd,Car and General (K) Ltd,Carbacid Investments Plc,Centum Investment Company Plc,Co-operative Bank of Kenya Ltd,Crown Paints Kenya Plc,Deacons (East Africa) Plc,Diamond Trust Bank Kenya Ltd,Eaagads Ltd,East African Breweries Ltd,East African Cables Plc,East African Portland Cement Ltd,Equity Group Holdings Plc,Eveready East Africa Ltd,Express Kenya Plc,Flame Tree Group Holdings Ltd,HF Group Ltd,Home Afrika Ltd,Homeboyz Entertainment Plc,I & M Holdings Plc,Jubilee Holdings Ltd,KCB Group Plc,KPLC-P4,KPLC-P7,Kakuzi Plc,Kapchorua Tea Kenya Plc,Kenya Airways Plc,Kenya Electricity Generating Company Plc,Kenya Power and Lighting Company Plc,Kenya Re-Insurance Corporation Ltd,Kurwitu Ventures Ltd,Laptrust Imara Income-REIT,Liberty Kenya Holdings Ltd,Limuru Tea Plc,Longhorn Publishers Plc,Mumias Sugar Company Ltd,NCBA Group Plc,NSE 10-Share Index,NSE 20-Share Index,NSE 25-Share Index,NSE All-Share Index,NSE Banking Sector Index,NSE Bonds Index,Nairobi Business Ventures Ltd,Nairobi Securities Exchange Plc,Nation Media Group Plc,Olympia Capital Holdings Ltd,Safaricom Plc,Sameer Africa Plc,Sanlam Kenya Plc,Sasini Plc,Satrix MSCI World Feeder ETF,Shri Krishana Overseas Plc,Stanbic Holdings Plc,Standard Chartered Bank Kenya Ltd,Standard Group Plc,TPS Eastern Africa (Serena) Ltd,TotalEnergies Marketing Kenya Plc,Trans-Century Plc,Uchumi Supermarket Plc,Umeme Ltd,Unga Group Ltd,WPP ScanGroup Plc,Williamson Tea Kenya Plc,Zamara Kenya Equity Index (KES),Zamara Kenya Equity Index (USD)
2025-01-02,18.85,3260.0,5.55,70.0,35.0,88.75,55.0,5.82,376.25,2.14,25.0,20.35,10.2,17.45,33.9,0.45,66.75,12.0,175.5,1.06,29.05,48.0,1.17,3.6,0.96,4.6,0.37,4.66,36.0,174.75,42.4,4.0,6.0,392.5,239.25,3.83,3.75,5.18,1.35,1500.0,20.0,6.7,350.0,2.3,0.27,51.0,1327.4,2058.67,3457.87,125.34,,1108.71,2.01,5.9,14.4,2.81,17.2,2.44,4.95,15.0,,,139.75,285.25,4.99,15.85,20.35,0.4,0.16,16.7,15.0,2.51,224.75,2547.58,1697.07
2025-01-03,19.0,3260.0,5.55,70.0,35.0,88.75,55.5,5.64,371.75,2.15,24.25,19.6,10.95,17.65,35.55,0.45,67.0,12.0,176.5,1.05,30.7,48.0,1.06,3.44,0.98,4.74,0.35,4.66,36.15,175.25,42.8,4.0,6.0,392.5,235.0,3.83,3.89,5.42,1.41,1500.0,20.0,6.58,350.0,2.3,0.27,50.75,1335.89,2088.97,3483.67,126.36,,1108.69,2.01,5.9,14.85,2.73,17.35,2.65,4.82,15.25,,,144.25,291.25,5.0,15.0,21.5,0.4,0.16,16.75,14.4,2.31,224.75,2564.79,1708.53
2025-01-06,18.85,3260.0,5.55,70.0,35.0,86.0,55.25,6.16,372.75,2.19,24.0,19.25,10.25,17.65,32.0,0.45,68.5,12.0,179.0,1.06,28.25,47.8,1.12,3.5,1.0,4.83,0.36,4.66,36.1,189.5,42.9,4.0,6.0,392.5,235.0,4.05,3.97,5.86,1.38,1500.0,20.0,6.26,350.0,2.3,0.27,49.2,1336.77,2095.88,3494.82,127.28,,1109.18,2.01,6.16,14.0,2.87,17.6,2.67,5.18,14.9,,,145.5,295.5,4.51,15.0,20.65,0.41,0.16,17.0,15.1,2.54,224.5,2578.16,1716.78
2025-01-07,18.5,3260.0,5.55,70.0,34.85,86.0,55.0,6.56,373.5,2.27,25.15,19.55,10.05,17.8,33.1,0.45,68.25,11.65,177.75,1.06,29.5,47.95,1.1,3.38,0.96,4.99,0.37,4.66,36.55,190.0,43.0,4.0,6.0,392.5,235.0,4.33,4.24,6.44,1.38,1500.0,20.0,6.26,350.0,2.3,0.27,49.95,1338.87,2132.26,3520.92,128.43,,1109.52,2.0,6.3,14.0,2.72,17.7,2.55,4.82,16.0,,,156.75,300.25,4.65,15.0,20.8,0.4,0.17,17.35,15.4,2.65,224.0,2579.72,1716.49
2025-01-08,18.8,3260.0,5.55,70.0,34.9,86.25,54.5,7.08,374.5,2.29,24.0,19.25,10.45,17.8,32.0,0.45,68.5,11.65,179.5,1.05,28.35,47.6,1.15,3.15,0.96,5.3,0.36,4.66,35.4,190.0,42.8,4.0,6.0,392.5,233.0,4.76,4.13,6.98,1.39,1500.0,20.0,6.6,350.0,2.3,0.27,49.25,1340.58,2145.52,3522.61,128.93,,1109.82,2.0,6.62,13.55,2.94,17.8,2.75,5.08,16.0,,,156.0,302.5,4.95,15.45,21.0,0.41,0.17,17.45,15.4,2.71,222.0,2586.9,1723.26
2025-01-09,18.8,3260.0,5.55,70.0,34.95,86.25,54.25,6.54,372.75,2.33,24.0,19.2,10.5,17.35,32.0,0.45,69.75,11.65,176.0,1.09,28.0,47.6,1.16,3.1,0.95,5.38,0.34,4.66,35.05,190.0,42.9,4.0,6.0,392.5,232.75,5.22,4.32,7.4,1.44,1500.0,20.0,6.5,350.0,2.35,0.27,49.1,1335.86,2142.52,3508.57,128.97,,1109.79,2.07,6.5,13.2,2.9,17.95,2.6,5.06,15.95,,,156.5,293.25,4.77,16.25,20.8,0.43,0.17,17.4,16.0,2.74,221.25,2575.13,1712.12
2025-01-10,19.1,3260.0,5.55,70.0,35.0,86.25,54.0,6.58,370.25,2.32,24.0,19.35,10.8,16.6,32.0,0.45,70.0,12.0,179.5,1.1,27.5,47.5,1.12,3.1,0.97,5.8,0.36,4.66,33.95,190.5,43.3,4.0,6.0,400.0,232.75,5.74,4.3,6.94,1.53,1500.0,20.0,7.14,350.0,2.45,0.27,48.45,1338.17,2145.27,3511.33,129.64,,1107.13,2.11,6.76,13.55,2.99,18.1,2.7,5.12,16.05,,,157.0,300.0,4.71,16.25,20.9,0.44,0.18,17.05,17.0,2.89,222.0,2600.85,1734.57
2025-01-13,18.7,3260.0,5.55,70.0,35.0,86.25,54.75,7.0,366.25,2.35,24.0,19.3,10.9,16.55,31.2,0.45,68.75,12.0,175.75,1.14,26.15,47.8,1.16,3.1,0.96,6.36,0.35,4.66,34.55,194.5,43.45,4.0,6.0,400.0,232.75,6.3,4.28,6.28,1.63,1500.0,20.0,7.12,350.0,2.5,0.27,47.35,1332.06,2142.3,3494.13,129.66,,1101.35,2.0,6.84,13.6,3.0,18.2,2.61,5.02,15.7,,,150.75,299.75,4.8,15.8,21.05,0.44,0.19,16.85,17.0,2.77,221.25,2591.95,1723.3
2025-01-14,18.45,3260.0,5.55,70.0,35.0,86.25,57.75,7.12,370.25,2.38,26.0,19.7,11.0,16.45,31.05,0.45,68.5,10.85,178.5,1.12,25.4,48.35,1.12,3.1,1.0,6.9,0.36,4.66,34.4,192.0,43.45,4.0,6.0,400.0,236.25,6.92,4.18,6.46,1.73,1500.0,20.0,6.54,332.0,2.31,0.27,47.15,1333.78,2156.21,3492.58,129.73,,1101.37,2.0,6.78,13.75,3.0,18.1,2.57,5.14,15.3,,,146.5,295.75,5.02,16.0,21.1,0.45,0.19,17.0,17.0,2.88,220.0,2595.91,1725.93
2025-01-15,17.2,3260.0,5.55,70.0,34.8,86.25,57.5,7.46,370.5,2.47,24.1,19.75,11.2,15.85,31.05,0.45,68.25,10.85,177.5,1.13,25.9,48.0,1.21,3.1,1.0,7.52,0.39,4.66,34.0,194.75,43.3,4.0,6.0,395.0,236.25,7.6,4.16,6.96,1.67,1500.0,20.0,6.5,332.0,2.5,0.27,47.25,1317.64,2148.56,3456.68,129.47,,1100.96,2.02,6.74,13.25,3.0,18.25,2.5,5.18,15.45,,,144.5,289.25,5.0,15.25,20.75,0.46,0.18,17.25,17.0,2.82,218.75,2568.1,1707.44
