Date,ABSA,ARM,BAMB,BAT,BOC,BRIT,CABL,CARB,CGEN,CIC,COOP,CRWN,CTUM,DTK,EABL,EGAD,EQTY,EVRD,HFCK,JUB,KAPC,KCB,KEGN,KENO,KNRE,KPLC,KPLC-P4,KPLC-P7,KQ,KUKZ,LBTY,LIMT,LKL,MSC,NBK,NCBA,NMG,OCH,ORCH,PORT,SASN,SBIC,SCAN,SCBK,SCOM,SGL,SLAM,SMER,TCL,TOTL,TPSE,UCHM,UMME,UNGA,WTK,XPRS,^FNK15,^FNK25,^N20I,^NASI,FTGH,HAFR,IMH,KURV,NSE,^N25I,DCON,FAHR,NBV,BKG,GLD,^ZKEQTK,^ZKEQTU,HBE,LAPR,^N10I,ABSA_NewGold_ETF,Africa_Mega_Agricorp,NSE_Banking_Sector_Index,NSE_Bonds_Index,Sameer_Africa,Satrix_MSCI_World_ETF,Shri_Krishana_Overseas
2013-01-02,15.7,44.6,190.0,493.0,99.5,6.05,11.75,120.0,24.0,3.5,12.75,42.5,12.2,118.0,267.0,25.0,23.75,2.0,15.45,175.0,118.0,30.25,8.9,13.55,10.9,17.0,7.65,5.5,11.3,67.5,6.75,430.0,10.2,4.9,17.35,39.1,225.0,3.7,3.0,39.0,11.9,43.0,67.5,236.25,5.1,22.5,40.25,4.35,23.25,13.9,39.25,19.1,,13.05,200.0,3.5,126.46,129.24,,95.55,,,,,,,,,,,,,,,,,,,,,,,
2013-01-03,15.8,44.6,190.0,500.0,99.5,6.05,12.1,120.0,24.0,3.45,12.8,41.75,12.2,118.0,267.0,24.0,23.75,2.0,15.55,182.0,118.0,31.0,8.85,13.55,10.95,16.95,7.65,5.5,11.35,67.5,7.0,430.0,10.2,4.95,17.05,39.05,227.0,3.6,3.0,40.0,11.75,42.75,68.5,235.5,5.15,22.0,40.25,4.35,23.75,13.85,40.0,19.45,,13.15,200.0,3.45,126.74,129.64,,96.07,,,,,,,,,,,,,,,,,,,,,,,
2013-01-04,15.75,49.75,194.0,502.0,99.5,6.05,12.05,118.0,24.0,3.4,12.9,41.75,12.55,119.0,274.0,25.0,24.0,2.0,15.8,180.0,118.0,31.0,8.85,13.55,11.1,16.95,7.65,5.5,11.25,67.5,7.0,430.0,10.2,5.0,17.35,40.75,229.0,3.65,3.0,40.0,11.9,43.5,63.0,236.75,5.25,22.0,41.0,4.45,24.0,13.9,41.75,19.45,,13.45,200.0,3.5,128.57,131.53,,97.3,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,15.7,52.0,191.0,504.0,99.5,6.05,12.15,118.0,24.0,3.4,12.8,41.75,12.45,121.0,272.0,24.0,23.75,1.9,15.6,194.0,118.0,31.0,9.0,13.5,11.05,16.5,7.65,5.5,11.2,70.0,6.9,430.0,10.2,5.0,17.4,39.95,231.0,3.55,3.0,41.0,12.0,44.75,67.0,239.0,5.35,22.0,41.0,4.45,24.0,13.65,41.0,19.1,,13.6,200.0,3.5,128.09,131.13,,97.55,,,,,,,,,,,,,,,,,,,,,,,
2013-01-08,15.7,51.5,190.0,505.0,99.5,6.05,12.2,118.0,24.0,3.45,12.75,42.0,12.45,120.0,280.0,24.75,24.0,1.95,15.85,194.0,118.0,31.0,8.95,13.55,11.1,16.7,7.65,5.5,11.35,72.0,6.8,430.0,10.2,5.0,17.45,39.95,233.0,3.55,3.0,40.25,12.1,45.0,68.5,241.5,5.6,22.25,41.0,4.55,23.0,13.65,42.0,19.1,,13.5,200.0,3.5,131.86,135.25,,98.91,,,,,,,,,,,,,,,,,,,,,,,
2013-01-09,15.6,54.5,190.0,524.0,100.0,6.1,12.4,125.0,24.0,3.45,12.7,42.5,12.5,124.0,290.0,24.5,25.25,1.95,16.1,194.0,118.0,31.25,9.15,13.6,11.45,16.7,7.65,5.5,11.2,71.5,6.8,430.0,10.2,4.95,17.5,42.25,239.0,3.5,3.0,40.25,12.45,45.0,69.5,241.25,5.8,22.5,40.75,4.6,23.25,13.55,42.0,19.05,,13.5,200.0,3.15,131.61,134.84,,101.03,,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,15.45,55.0,194.0,525.0,100.0,6.35,12.0,125.0,24.0,3.65,12.75,43.0,12.4,122.0,291.0,24.0,25.75,1.95,16.3,194.0,118.0,31.75,9.45,13.7,11.45,16.8,7.65,5.5,11.35,71.5,6.95,430.0,10.2,4.95,17.6,41.75,242.0,3.55,3.0,40.5,12.05,46.0,69.0,242.25,5.6,24.0,41.25,4.55,23.75,13.65,41.75,19.1,,13.55,199.0,3.05,132.91,136.12,,101.02,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,15.4,56.0,195.0,530.0,100.0,6.3,12.05,119.0,24.25,3.65,12.75,42.5,12.25,124.0,294.0,24.0,25.5,1.95,16.45,194.0,118.0,32.75,10.05,13.8,11.35,17.0,7.65,5.5,11.0,72.0,6.95,430.0,10.2,4.95,17.65,41.65,243.0,3.55,3.0,40.0,12.05,45.0,69.0,244.0,5.6,23.25,41.75,4.6,24.0,13.5,42.0,19.0,,13.65,200.0,3.05,133.64,136.97,,101.63,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,15.5,59.0,195.0,540.0,100.0,6.25,12.1,119.0,25.25,3.65,12.85,42.5,12.4,125.0,299.0,24.0,25.75,1.95,16.85,194.0,118.0,33.25,10.8,13.75,11.5,17.2,7.65,5.5,11.05,72.0,6.95,430.0,10.2,4.9,17.45,41.9,242.0,3.55,3.0,40.0,12.9,45.0,69.0,249.75,5.6,23.25,41.75,4.75,24.0,13.9,42.0,19.1,,13.6,200.0,3.05,135.04,138.47,,102.76,,,,,,,,,,,,,,,,,,,,,,,
2013-01-15,15.65,59.0,196.0,540.0,99.0,6.3,12.5,119.0,25.0,3.65,12.95,42.0,12.6,129.0,303.0,24.0,26.25,1.95,17.2,194.0,118.0,34.25,11.5,13.95,11.85,17.9,7.65,5.5,11.05,72.0,6.95,430.0,10.2,4.95,17.75,43.85,256.0,3.65,3.0,40.0,12.55,45.0,70.0,255.25,5.65,24.0,42.0,4.75,23.75,13.9,42.0,18.95,,13.65,200.0,3.15,137.9,141.18,,104.28,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,16.15,59.5,200.0,540.0,100.0,6.45,13.2,119.0,24.25,3.8,13.35,42.5,13.0,131.0,304.0,24.75,27.25,1.95,18.15,194.0,118.0,34.5,12.6,13.95,12.55,18.05,7.65,5.5,11.05,70.0,6.95,430.0,10.2,5.25,18.5,44.65,264.0,3.7,3.0,42.0,12.85,45.25,68.5,262.75,5.75,24.0,42.25,4.65,24.0,14.0,42.0,19.1,,13.9,197.0,3.15,139.31,142.45,,106.1,,,,,,,,,,,,,,,,,,,,,,,
2013-01-17,16.25,59.0,204.0,540.0,100.0,6.45,13.35,120.0,24.25,3.95,13.1,42.5,13.75,138.0,301.0,24.0,26.5,1.9,18.35,190.0,118.0,32.75,13.6,13.95,12.6,18.05,7.65,5.5,11.0,70.0,6.95,430.0,10.2,5.3,18.75,45.0,259.0,3.65,3.0,41.0,12.9,45.0,66.0,268.75,5.75,24.0,42.25,4.4,25.75,14.1,44.0,19.05,,14.0,200.0,3.25,136.78,139.99,,105.82,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,16.0,57.0,205.0,540.0,99.5,6.3,13.3,120.0,25.0,3.9,13.0,42.5,13.45,139.0,295.0,24.0,25.75,1.9,17.6,190.0,118.0,32.75,13.75,13.9,12.25,17.85,7.65,5.5,10.95,70.0,6.9,430.0,11.2,5.25,19.0,45.05,251.0,3.7,3.0,42.0,12.8,45.0,65.5,262.25,5.75,23.75,42.0,4.55,27.75,14.3,43.75,19.05,,14.0,200.0,3.55,136.28,139.44,,104.78,,,,,,,,,,,,,,,,,,,,,,,
